OPT School Codes,ATS Code,School Name,Address,Phone,District,Borough,Type of School,Building Code
15854,,GAN YISROEL(GIRLS),13 CHURCH AVENUE Brooklyn NY 11218,(718) 435-0101,15,Brooklyn,Yeshiva,
26004,,Ganeinu,64-41 Utopia Parkway Queens NY 11365,(718) 426-9369,26,Queens,Yeshiva,
30748,,GARDEN SCHOOL,33-16 79TH STREET Queens NY 11372,(718) 335-6363,30,Queens,Nonsectarian,
11631,,GARVEY SCHOOL T-ANNEX,950 BAYCHESTER AVENUE Bronx NY 10475,(718) 320-3902,11,Bronx,Nonsectarian,
31760,,GATEWAY ACADEMY,200 BOSCOMBE AVE STATEN ISLAND NY 10309,(718) 966-8695,31,Staten Island,Christian,
20818,,GATEWAY CITY ACADEMY,257 BAY RIDGE AVENUE Brooklyn NY 11220,(718) 921-3737,20,Brooklyn,Christian,
31547,31R064,GAYNOR MCCOWN EXPEDITIONARY,100 ESSEX DRIVE Richmond NY 10314,(718) 370-6950,31,Staten Island,Public,R043
13668,79K755,GED PLUS @ BKLYN A.L.C.-EMT,475 NOSTRAND AVENUE Brooklyn NY 11216,(718) 638-2635,13,Brooklyn,Public,Q733
28669,,GED PLUS @ FOREST HILLS PM,67-01 110TH STREET Queens NY 11375,(718) 268-3137,28,Queens,Public,
27668,,GED PLUS @ HOLIDAY INN JFK,144-02 135TH AVENUE Queens NY 11436,(718) 659-0200,27,Queens,Public,
11664,,GED PLUS @ JACOBI MEDICAL CTR,1400 PELHAM PARKWAY Bronx NY 10461,(718) 918-4881,11,Bronx,Public,
22667,,GED PLUS @ KINGSOROUGH C.C.,2001 ORIENTAL BLVD Brooklyn NY 11235,(718) 368-5170,22,Brooklyn,Public,
20664,,GED PLUS @ MAIMONIDES HOSPITAL,915 49TH STREET Brooklyn NY 11232,(718) 283-8689,20,Brooklyn,Public,
31635,,GED PLUS @ RICHMONDTOWN,441 CLARKE AVENUE Richmond NY 10306,(718) 823-1611,31,Staten Island,Public,
20742,,GENESIS SCHOOL,7100 SHORE ROAD Brooklyn NY 11209,(718) 836-7100,20,Brooklyn,Parochial,
9026,,George Community Services,489 ST. Pauls Place Bronx NY 10456,(212) 927-2224,9,Bronx,Nonsectarian,
1769,,GEORGE JACKSON ACADEMY,104 ST. MARK'S PLACE New York NY 10009,(212) 228-6789,1,Manhattan,Nonsectarian,
75520,,GEORGE W HEWLETT HS,60 EVERIT AVE HEWLETT NY 11557,(516) 374-8000,00*,HEWLETT,non nyc pub,
75853,,German International School NY,50 PARTRIDGE ROAD WHITE PLAINS NY 10605,(914) 948-6875,00*,WHITE PLAINS,Nonsectarian,
13018,,German School Brooklyn,17 Eastern Parkway Brooklyn NY 11238,(347) 897-8161,13,Brooklyn,Nonsectarian,
15044,,German School Brooklyn,9 Hanover Place Brooklyn NY 11201,(347) 897-8161,15,Brooklyn,Nonsectarian,
2140,,German School Manhattan,74 Warren Street New York NY 10007,(646) 869-1152,2,Manhattan,Nonsectarian,
75691,,GERSH ACADEMY - WEST HEMPSTEAD,307 EAGLE AVENUE WEST HEMPSTEAD NY 11552,(516) 986-9580,00*,WEST HEMPSTEAD,Yeshiva,
29017,,Gersh Academy Queens,113-05 Springfield Boulevard Queens NY 11429,(516) 986-9580,29,Queens,Nonsectarian,
21893,,GESHER YEHUDA,49 AVENUE T Brooklyn NY 11223,(718) 714-7400,21,Brooklyn,Yeshiva,
8487,84X487,GIRLS PREP BRONX-MS,890 CAULDWELL AVENUE BRONX NY 10456,(718) 665-6090,8,Bronx,Charter,X052
1658,84M330,GIRLS PREP CHARTER SCH NY ELEM,442 EAST HOUSTON STREET New York NY 10002,(212) 388-0241,1,Manhattan,Charter,M188
1659,84M330,GIRLS PREP CHARTER SCH NY MS,420 EAST 12TH STREET New York NY 10009,(212) 358-8216,1,Manhattan,Charter,M188
8688,84X487,GIRLS PREP CHARTER SCHOOL,681 KELLY STREET Bronx NY 10455,(718) 901-3855,8,Bronx,Charter,X052
7630,84X630,Girls Prep Charter School 2,192 East 151 Street Bronx NY 10451,(917) 435-6599,7,Bronx,Charter,XBCA
24119,24Q119,GLENDALE -IS 119,74-01 78 AVENUE Queens NY 11385,(718) 326-8261,24,Queens,Public,Q119
5085,84M085,GLOBAL COMM CHARTER SCHOOL,2350 5TH AVENUE MANHATTAN NY 10037,(646) 360-2363,5,Manhattan,Charter,M838
5086,84M085,Global Comm Charter School II,219 West 146 Street Manhattan NY 10039,(646) 360-2363,5,Manhattan,Charter,M838
27333,27Q333,GOLDIE MAPLE ACADEMY,3-65 BEACH 56TH STREET Queens NY 11692,(718) 945-3300,27,Queens,Public,Q198
75477,,GOOD COUNSEL ACADEMY ELEM.,52 NORTH BROADWAY WHITE PLAINS NY 10603,(914) 761-4423,00*,WHITE PLAINS,Parochial,
22703,,Good Shepherd Catholic Academy,1943 BROWN STREET Brooklyn NY 11229,(718) 339-2745,22,Brooklyn,Parochial,
6701,,GOOD SHEPHERD SCHOOL,620 ISHAM STREET New York NY 10034,(212) 567-5800,6,Manhattan,Parochial,
8518,08X452,Gotham Collaborative HS,1980 LAFAYETTE AVENUE Bronx NY 10473,(718) 597-1587,8,Bronx,Public,X450
17594,13K594,GOTHAM PROFESSIONAL ARTS ACAD,561 GRAND AVE Brooklyn NY 11238,(718) 455-0746,17,Brooklyn,Public,K909
19706,,GRACE CHRISTIAN ED CENTER,650 LIVONIA AVENUE Brooklyn NY 11207,(718) 498-7175,19,Brooklyn,Nonsectarian,
2922,,GRACE CHURCH HS,38 COOPER SQUARE New York NY 10003,(212) 475-5610,2,Manhattan,Nonsectarian,
2748,,GRACE CHURCH SCHOOL,86 4TH AVENUE NEW YORK NY 10003,(212) 475-5609,2,Manhattan,Christian,
2374,02M374,GRAMMERCY ARTS HS,40 IRVING PLACE New York NY 10003,(212) 253-7076,2,Manhattan,Public,M460
8001,84X165,Grand Concourse Academy,625 Bolton Avenue Bronx NY 10473,(718) 684-6505,8,Bronx,Charter,XBPV
9449,09X449,GRANT AVENUE ELEM SCHOOL,250 EAST 164 STREET Bronx NY 10456,(718) 681-6288,9,Bronx,Public,X166
18668,,GREAT COMMISSION CHRISTIAN SCH,1187 EAST 92ND STREET BROOKLYN NY 11236,(718) 257-8783,18,Brooklyn,Christian,
1004,84M202,Great Oaks Charter School,38 Delancey Street New York NY 10002,(212) 233-5152,1,Manhattan,Charter,MAUD
18657,,GREAT OAKS ELEMENTARY SCHOOL,4718 FARRAGUT ROAD Brooklyn NY 11203,(718) 282-6210,18,Brooklyn,Christian,
5733,,GREAT TOMORROWS USA ELEM/MID,38 WEST 123 STREET New York NY 10027,(212) 427-2839,5,Manhattan,Christian,
30802,,GREATER NY ACAD OF 7TH DAY ADV,41-32 58TH STREET Queens NY 11377,(718) 639-1752,30,Queens,Christian,
8706,,GREEK AMERICAN INSTITUTE,3573 BRUCKNER BLVD Bronx NY 10461,(718) 823-2393,8,Bronx,Christian,
75412,,GREEN CHIMNEYS SCHOLL -CARMEL,33 CLEARPOOL ROAD CARMEL NY 10512,(845) 225-8226,00*,CARMEL,Nonsectarian,
75816,,GREEN CHIMNEYS SCHOOL,400 DOANSBURG ROAD BREWSTER NY 10509,(845) 279-2995,00*,BREWSTER,Nonsectarian,
75873,,GREEN MEADOW WALDORF SCHOOL,307 HUNGRY HOLLOW ROAD CHESTNUT RIDGE NY 10977,(845) 356-2514,00*,CHESTNUT RIDGE,Nonsectarian,
14455,14K454,GREEN SCH ACAD FOR ENVN.CAREER,223 GRAHAM AVENUE Brooklyn NY 11206,(718) 599-1207,14,Brooklyn,Public,K049
75550,,GREENBURGH ACADEMY,108 SHONNARD PLACE YONKERS NY 10703,(914) 476-1938,00*,YONKERS,Nonsectarian,
75419,,GREENBURGH ELEVEN U.F.S.D,175 Walgrove Ave DOBBS FERRY NY 10522,(914) 693-8500,00*,DOBBS FERRY,non nyc pub,
75420,,GREENBURGH-GRAHAM U.F.S.D.,1 SOUTH BROADWAY HASTINGS NY 10706,(914) 478-1106,00*,HASTINGS,non nyc pub,
75495,,GREENBURGH-NORTH CASTLE UFSD,ONE CROSS STREET ARDSLEY NY 10502,(914) 674-1202,00*,ARDSLEY,non nyc pub,
13754,,GREENE HILL SCHOOL,39 ADELPHI STREET Brooklyn NY 11205,(718) 230-3608,13,Brooklyn,Nonsectarian,
6427,06M552,GREGORIO LUPERON PREPARATORY,501 WEST 165TH STREET New York NY 10032,(212) 928-1202,6,Manhattan,Public,M876
5676,,GROVE SCH OF ENGINEERING C.C.,140TH STREET & CONVENT AVENUE New York NY 10031,(212) 650-6190,5,Manhattan,Public,
24515,24Q485,GROVER CLEVELAND HS,2127 HIMROD STREET Queens NY 11385,(718) 381-9600,24,Queens,Public,Q485
28010,84Q372,Growing Up Green Charter II,84-35 152 Street Jamaica NY 11432,(347) 642-4306,28,Queens,Charter,QACG
28018,84Q372,Growing up Green Charter II ES,89-25 161 Street Queens NY 11432,(347) 642-4306,28,Queens,Charter,QACG
30321,84Q321,GROWING UP GREEN CHARTER SCH,39-37 28TH STREET Queens NY 11101,(347) 642-4306,30,Queens,Charter,QARY
30445,84Q321,GROWING UP GREEN SCHOOL M.S.,36-49 11TH STREET Queens NY 11101,(347) 642-4306,30,Queens,Charter,QARY
2728,,GUARDIAN ANGEL SCHOOL,193 10TH AVENUE New York NY 10011,(212) 989-8280,2,Manhattan,Parochial,
13005,,Guidepost Montessori at BKLYN,212 Hicks Street BROOKLYN NY 11201,(929) 524-3588,13,Brooklyn,Nonsectarian,
2092,,Guidepost Montessori at Museum,12 East 79 Street Manhattan NY 10075,(917) 388-1710,2,Manhattan,Nonsectarian,
13049,,Guidepost Montessori Brooklyn,212 Hicks St Brooklyn NY 11201,(929) 524-3588,13,Brooklyn,Nonsectarian,
3802,,GUILD SCH JGB EDUCATION SERVIC,"80 West End Avenue, 2nd Floor New York NY 10023",(212) 769-6306,3,Manhattan,Nonsectarian,
8524,08X405,H H LEHMAN HS,3000 EAST TREMONT AVENUE Bronx NY 10461,(718) 904-4200,8,Bronx,Public,X405
2085,,H.R.A Four World Trade Center,150 Greenwich Street Manhattan NY 10006,(___) ___-____,2,Manhattan,Public,
6468,06M468,H.S. FOR HEALTH CAREERS & SCI,549 AUDUBON AVENUE New York NY 10040,(212) 927-1841,6,Manhattan,Public,M465
6467,06M467,H.S. FOR LAW & PUBLIC SERVICE,549 AUDUBON AVENUE New York NY 10040,(212) 342-6130,6,Manhattan,Public,M465
2370,02M425,H.S. FOR LEADERSHIP & PUBL.SER,90 TRINITY PLACE New York NY 10006,(212) 346-0007,2,Manhattan,Public,M894
6436,06M463,H.S. FOR MEDIA COMMUNICATIONS,549 AUDUBON AVENUE New York NY 10040,(212) 927-1841,6,Manhattan,Public,M465
2350,02M489,H.S. OF ECONOMICS & FINANCE,100 TRINITY PLACE New York NY 10006,(212) 346-0708,2,Manhattan,Public,M833
2538,02M400,H.S. OF ENVIRONMENTAL STUDIES,444 WEST 56 STREET New York NY 10019,(212) 262-8113,2,Manhattan,Public,M834
20022,,Hadran Academy,4419 13TH Avenue Brooklyn NY 11219,(718) 210-1722,20,Brooklyn,Yeshiva,
75982,,HAFTR MIDDLE SCHOOL,44 FROST LANE LAWRENCE NY 11559,(516) 295-3666,00*,LAWRENCE,Yeshiva,
75654,,HAGEDORN LITTLE VILLAGE SCHOOL,750 HICKSVILLE ROAD SEAFORD NY 11783,(516) 520-6000,00*,SEAFORD,Nonsectarian,
6209,06M209,HAMILTON GRANGE MIDDLE SCHOOL,500 WEST 138TH STREET New York NY 10031,(___) ___-____,6,Manhattan,Public,M192
75010,,HAMZA ACADEMY,202 Stuart Avenue Valley Stream NY 11580,(516) 285-1440,00*,Valley Stream,Other Rel,
15684,,HANNAH SENESH COMM. DAY SCHOOL,342 SMITH STREET Brooklyn NY 11231,(718) 858-8663,15,Brooklyn,Yeshiva,
15707,,HANSON PLACE SDA,38 LAFAYETTE AVENUE Brooklyn NY 11217,(718) 625-3030,15,Brooklyn,Nonsectarian,
22809,,HAOR BEACON SCHOOL,2884 NOSTRAND AVENUE Brooklyn NY 11223,(718) 951-3650,22,Brooklyn,Yeshiva,
6349,06M349,HARBOR HEIGHTS MS,306 FT.WASHINGTON AVENUE 4TH FLOOR New York NY 10033,(212) 927-1841,6,Manhattan,Public,M173
4745,84M704,HARBOR SCI & ART CHARTER SCH.,132 EAST 111TH STREET New York NY 10029,(212) 427-2244,4,Manhattan,Charter,MAIV
3686,,HARLEM ACADEMY,1330 FIFTH AVENUE New York NY 10026,(212) 348-2600,3,Manhattan,Nonsectarian,
3673,84M186,HARLEM HEBREW LANGUAGE CHARTER,147 ST. NICHOLAS AVENUE New York NY 10026,(212) 866-4608,3,Manhattan,Charter,MAQE
3329,84M329,HARLEM LINK CHARTER SCHOOL,20 WEST 112 STREET New York NY 10026,(212) 289-3249,3,Manhattan,Charter,M208
4479,84M708,HARLEM PREP CHARTER M.S.,232 EAST 103RD STREET New York NY 10029,(212) 860-1782,4,Manhattan,Charter,MADR
4477,84M708,HARLEM PREP CHARTER SCHOOL,240 EAST 123rd STREET New York NY 10035,(212) 876-9953,4,Manhattan,Charter,MADR
5565,05M285,HARLEM RENAISSANCE HS,22 EAST 128 STREET New York NY 10035,(212) 996-3795,5,Manhattan,Public,M911
5380,84M380,Harlem Village Academy Charter,74 West 124 Street Manhattan NY 10027,(646) 812-2970,5,Manhattan,Charter,MAGD
5661,84M709,Harlem Village Academy ES,74 WEST 124TH STREET New York NY 10027,(646) 812-9700,5,Manhattan,Charter,M194
5009,84M709,Harlem Village Academy ES 2,132 West 124 street Manhattan NY 10027,(646) 629-1559,5,Manhattan,Charter,M194
5709,84M709,Harlem Village Academy HS,35 WEST 124TH STREET New York NY 10027,(646) 812-9200,5,Manhattan,Charter,M194
5455,84M709,Harlem Village Academy MS,244 WEST 144TH STREET New York NY 10030,(646) 812-9300,5,Manhattan,Charter,M194
75628,,HARMONY HEIGHTS SCHOOL,60 WALNUT AVE EAST NORWICH NY 11732,(516) 922-6688,00*,EAST NORWICH,Other Rel,
9469,84X706,HARRIET TUBMAN CHARTER SCH-AX,1176 FRANKLIN AVENUE Bronx NY 10456,(718) 991-4181,9,Bronx,Charter,X256
9468,84X706,HARRIET TUBMAN CHARTER SCHOOL,3565 THIRD AVENUE Bronx NY 10456,(718) 537-9912,9,Bronx,Charter,X256
11505,11X455,HARRY S TRUMAN HS,750 BAYCHESTER AVENUE Bronx NY 10475,(718) 904-5400,11,Bronx,Public,X455
2530,02M534,HARVEST COLLEGIATE HS,34 WEST 14TH STREET New York NY 10011,(212) 242-3384,2,Manhattan,Public,M883
2462,02M586,HARVEY MILK HIGH SCHOOL,2 ASTOR PLACE New York NY 10003,(212) 477-1555,2,Manhattan,Public,M807
75511,,HASTINGS HIGH SCHOOL,One Mount Hope Boulevard HASTINGS ON HUD NY 10706,(718) 478-2902,00*,HASTINGS ON HUD,non nyc pub,
2632,,HAWTHORNE COUNTRY DAY SCHOOL,156 WILLIAM STREET New York NY 10038,(212) 281-6531,2,Manhattan,Nonsectarian,
27297,27Q297,HAWTREE CREEK M.S.,121-10 ROCKAWAY BLVD Queens NY 11420,(718) 659-3792,27,Queens,Public,Q226
7259,07X259,HEALTH ED.RES. OCCUPATIONS HS,455 SOUTHERN BLVD Bronx NY 10455,(718) 585-8013,7,Bronx,Public,X655
7498,07X670,HEALTH OPPORTUNITIES HS,350 GERARD AVE Bronx NY 10451,(718) 401-1826,7,Bronx,Public,X884
2380,02M420,HEALTH PROF & HUMAN SER. HS,345 EAST 15 STREET New York NY 10003,(212) 780-9175,2,Manhattan,Public,M475
27019,,HeartShare (For Pre -K),115-15 101 Avenue Richmond Hill NY 11419,(718) 441-5333,27,Queens,Nonsectarian,
75568,,HEBREW ACAD FOR SPEC. CHILDREN,321 WOODMERE BLVD WOODMERE NY 11598,(516) 295-1340,00*,WOODMERE,Yeshiva,
75766,,HEBREW ACAD OF NASSAU COUNTY,609 HEMPSTEAD AVENUE WEST HEMPSTEAD NY 11552,(516) 485-7786,00*,WEST HEMPSTEAD,Yeshiva,
20915,,HEBREW ACAD SPEC CHILDREN,6220 14 AVENUE Brooklyn NY 11219,(718) 331-1624,20,Brooklyn,Yeshiva,
31033,,Hebrew Academy,3495 Richmond Road Staten Island NY 10306,(718) 987-9700,31,Staten Island,Yeshiva,
75710,,HEBREW ACADEMY FIVE TOWNS,635 CENTRAL AVENUE CEDARHURST NY 11516,(516) 569-3807,00*,CEDARHURST,Yeshiva,
75775,,HEBREW ACADEMY OF FIVE TOWNS,33 WASHINGTON AVE LAWRENCE NY 11559,(516) 569-3043,00*,LAWRENCE,Yeshiva,
75711,,HEBREW ACADEMY OF NASSAU CNTY,"215 OAK STREET, UNIONDALE NY 11553",(718) 538-8161,00*,UNIONDALE,Yeshiva,
75047,,Hebrew Academy Special Child,46 Grandview Aevnue Spring Valley NY 10977,(845) 354-6019,00*,Spring Valley,Yeshiva,
21914,,HEBREW INST THE DEAF & EXCP.,1401 AVENUE I Brooklyn NY 11230,(718) 377-7507,21,Brooklyn,Nonsectarian,
27403,,HEBREW KIND & INFANT HOME,310 BEACH 20 STREET Queens NY 11691,(718) 327-1140,27,Queens,Nonsectarian,
22634,84K746,HEBREW LANGUAGE ACAD.CHARTER,2186 MILL AVENUE Brooklyn NY 11216,(718) 377-7200,22,Brooklyn,Charter,KBZT
21014,84K895,Hebrew Language Academy 2 CS,1870 Stillwell Avenue Brooklyn NY 11223,(718) 682-5610,21,Brooklyn,Charter,KCTL
15644,84K362,HELLENIC CLASSICAL CHARTER SCH,646 5TH AVENUE Brooklyn NY 11215,(718) 499-0957,15,Brooklyn,Charter,KAWR
31087,84R077,Hellenic Classical Charter Sch,1641 Richmond Avenue Staten Island NY 10314,(718) 499-0957,31,Staten Island,Charter,RAKJ
1552,01M292,HENRY ST.SCH FOR INTER.STUDIES,220 HENRY STREET New York NY 10002,(212) 406-9411,1,Manhattan,Public,M056
75907,,HENRY VISCARDI SCHOOL,201 I.U WILLETS ROAD ALBERTSON NY 11507,(516) 465-3701,00*,ALBERTSON,Nonsectarian,
6612,,HERBERT G. BIRCH ANNEX,554 FORT WASHINGTON AVE New York NY 10033,(212) 740-5157,6,Manhattan,Nonsectarian,
4750,04M680,HERITAGE HIGH SCHOOL,1680 LEXINGTON AVE New York NY 10029,(212) 828-2858,4,Manhattan,Public,M107
2809,,HEWITT SCHOOL,45 EAST 75TH STREET New York NY 10021,(212) 288-1919,2,Manhattan,Nonsectarian,
9520,09X404,HIGH SCHOOL FOR EXCELLENCE,1100 BOSTON ROAD Bronx NY 10456,(718) 860-1385,9,Bronx,Public,X400
29552,29Q272,HIGH SCHOOL FOR THE SCIENCES,143-10 SPRINGFIELD BLVD. Queens NY 11413,(718) 525-6439,29,Queens,Public,Q420
19515,19K504,HIGH SCHOOL OF CIVIL RIGHTS,400 PENNSYLVANIA AVENUE Brooklyn NY 11207,(718) 922-6289,19,Brooklyn,Public,K435
12539,12X550,HIGH SCHOOL OF WORLD CULTURES,1300 BOYNTON AVENUE Bronx NY 10472,(718) 860-8120,12,Bronx,Public,X420
26428,,HIGHLAND LOWER SCHOOL,193-10 PECK AVENUE FRESH MEADOWS NY 11365,(718) 357-4747,26,Queens,Nonsectarian,
19760,19K760,HIGHLAND PARK COMM. SCHOOL,528 RIDGEWOOD AVENUE Brooklyn NY 11208,(718) 235-1785,19,Brooklyn,Public,K171
2647,02M655,Highschool for Climate Justice,320 EAST 96 STREET New York NY 10128,(212) 348-1694,2,Manhattan,Public,M645
28522,28Q505,HILLCREST HS,160-05 HIGHLAND AVENUE Queens NY 11432,(718) 658-5407,28,Queens,Public,Q505
28597,28Q325,HILLSIDE ARTS & LETTER ACADEMY,167-01 GOTHIC DRIVE Queens NY 11432,(718) 658-1249,28,Queens,Public,Q470
5006,,Hires Prog. @ City College,"275 Convent Ave, Rm T107 New York NY 10031",(___) ___-____,5,Manhattan,Public,
20793,,HOLY ANGELS CATHOLIC ACADEMY,337 74TH STREET Brooklyn NY 11209,(718) 238-5045,20,Brooklyn,Parochial,
27722,,HOLY CHILD JESUS CATHOLIC ACAD,111-02 86 AVE Queens NY 11418,(718) 849-3988,27,Queens,Parochial,
25762,,HOLY CROSS GREEK ORTHODOX SCH,12-03 150TH STREET WHITESTONE NY 11357,(718) 747-3803,25,Queens,Parochial,
25703,,HOLY CROSS HS,26-20 FRANCIS LEWIS BLVD Queens NY 11358,(718) 886-7250,25,Queens,Parochial,
8717,,HOLY CROSS SCHOOL,1846 RANDALL AVENUE Bronx NY 10473,(718) 842-4492,8,Bronx,Parochial,
8713,,HOLY FAMILY SCHOOL,2169 BLACKROCK AVENUE Bronx NY 10472,(718) 863-7280,8,Bronx,Parochial,
26703,,HOLY FAMILY SCHOOL,74-15 175TH STREET Queens NY 11366,(718) 969-2124,26,Queens,Parochial,
26770,,HOLY MARTYRS ARMENIA SCH,209-15 HORACE HARDING BLVD Queens NY 11364,(718) 225-4826,26,Queens,Nonsectarian,
75879,,HOLY NAME OF JESUS,70 PETERSVILLE ROAD NEW ROCHELLE NY 10801,(914) 576-6672,00*,NEW ROCHELLE,Parochial,
11703,,HOLY ROSARY SCHOOL,1500 ARNOW AVENUE Bronx NY 10469,(718) 652-1838,11,Bronx,Parochial,
31733,,HOLY ROSARY SCHOOL,100 JEROME AVENUE STATEN ISLAND NY 10305,(718) 447-1195,31,Staten Island,Parochial,
25704,,HOLY TRINITY CATHOLIC ACAD,14-45 143RD STREET Queens NY 11357,(718) 746-1479,25,Queens,Parochial,
75708,,HOLY TRINITY DIOCESAN H.S,98 Cherry Lane HICKSVILLE NY 11801,(718) 433-2900,00*,HICKSVILLE,Parochial,
31885,75R505,HOME INSTR. SCHOOL OF S.I.,155 TOMPKINS AVENUE Richmond NY 10304,(718) 447-4447,31,Staten Island,Public,R040
15885,75K503,HOME INSTR.SCH OF BROOKLYN,360 36TH STREET Brooklyn NY 11232,(718) 499-0636,15,Brooklyn,Public,K231
2885,75M501,HOME INSTR.SCHOOL- MANHATTAN,250 WEST HOUSTON STREET New York NY 10014,(646) 486-3557,2,Manhattan,Public,X953
28885,75Q504,HOME INSTR.SCHOOL OF QUEENS,142-10 LINDEN BLVD Queens NY 11436,(718) 529-0266,28,Queens,Public,Q142
8408,,HOME INSTRUCTIONS SCH- BRONX,3450 EAST TREMONT AVENUE Bronx NY 10465,(718) 794-7200,8,Bronx,Public,
75015,,Honor Ridge Academy,342 Madison Hill Road Clark NJ 07066,(732) 827-5885,00*,Clark,Nonsectarian,
10010,,Hope Academy of the Bronx,2206 Andrews Ave Bronx NY 10453,(347) 762-2463,10,Bronx,Christian,
75560,,HORACE GREELEY HS,70 ROARING BROOK ROAD CHAPPAQUA NY 10514,(914) 861-9400,00*,CHAPPAQUA,non nyc pub,
10738,,HORACE MANN SCHOOL,231 WEST 246TH STREET Bronx NY 10471,(718) 548-4000,10,Bronx,Nonsectarian,
10600,,HORACE MANN-BARNARD SCH,4440 TIBBETT AVENUE Bronx NY 10471,(718) 432-3300,10,Bronx,Nonsectarian,
8466,75X502,HOSPITAL SCHOOLS,3450 EAST TREMONT AVENUE Bronx NY 10465,(718) 794-7260,8,Bronx,Public,X953
2862,,HOSPITALS SCHOOLS @ ICD HOSP,50 BROADWAY New York NY 10004,(718) 794-7260,2,Manhattan,Public,
7401,07X500,HOSTOS-LINCOLN ACAD HS/IS,600 ST ANN'S AVENUE Bronx NY 10455,(718) 402-5640,7,Bronx,Public,X162
24750,24Q550,HS FOR ARTS & BUSINESS,105-25 HORACE HARDING EXPRESSWAY Queens NY 11368,(718) 271-8383,24,Queens,Public,Q456
27651,27Q650,HS FOR CONST.TRADES-ENG-ARCH,94-02 104TH STREET Queens NY 11416,(718) 846-6280,27,Queens,Public,Q650
11544,11X544,HS FOR CONTEMPORARY ARTS,800 EAST GUN HILL ROAD Bronx NY 10469,(718) 944-5610,11,Bronx,Public,X425
2612,02M545,HS FOR DUAL LANG.& ASIAN STUDY,350 GRAND STREET 5TH FLOOR New York NY 10002,(212) 475-4097,2,Manhattan,Public,M445
10565,10X565,HS FOR ENERGY & TECHNOLOGY,2474 CROTONA AVENUE Bronx NY 10458,(718) 935-3530,10,Bronx,Public,X660
6423,06M423,HS FOR EXCELLENCE & INNOVATION,650 ACADEMY STREET New York NY 10033,(212) 928-1174,6,Manhattan,Public,M052
17528,17K528,HS FOR GLOBAL CITZENSHIP,883 CLASSON AVENUE Brooklyn NY 11225,(718) 230-6300,17,Brooklyn,Public,K440
2399,02M399,HS FOR LANGUAGE & DIPLOMACY,40 IRVING PLACE New York NY 10003,(212) 253-2480,2,Manhattan,Public,M460
11509,11X509,HS FOR LANGUAGE & INNOVATION,925 ASTOR AVENUE Bronx NY 10469,(718) 944-3625,11,Bronx,Public,X415
5692,05M692,"HS FOR MATH,SCI & ENG. @ C.C.",240 CONVENT AVENUE New York NY 10031,(212) 281-6490,5,Manhattan,Public,M812
18633,18K633,HS FOR MEDICAL PROFESSIONS,1600 ROCKAWAY PARKWAY Brooklyn NY 11236,(718) 290-8700,18,Brooklyn,Public,K500
17574,17K546,HS FOR PUBLIC SERVICE,600 KINGSTON AVENUE Brooklyn NY 11203,(718) 756-5325,17,Brooklyn,Public,K470
17539,17K539,HS FOR SERVICE & LEARNING,911 FLATBUSH AVENUE Brooklyn NY 11226,(718) 564-2551,17,Brooklyn,Public,K465
10518,10X433,HS FOR TEACHING & PROFESSIONS,2780 RESERVOIR AVENUE Bronx NY 10468,(718) 329-7380,10,Bronx,Public,X430
9543,09X543,HS FOR VIOLIN AND DANCE,1100 BOSTON ROAD Bronx NY 10456,(718) 842-0687,9,Bronx,Public,X400
17551,17K537,HS FOR YOUTH COMM. DEVELOPMENT,911 FLATBUSH AVENUE Brooklyn NY 11216,(718) 564-2470,17,Brooklyn,Public,K465
18617,18K617,HS INNOVATION IN AD & MEDIA,1600 ROCKAWAY PARKWAY Brooklyn NY 11236,(718) 290-8760,18,Brooklyn,Public,K500
28690,28Q690,HS LAW ENFORCE.& PUBLIC SAFETY,116-25 GUY R. BREWER BLVD Queens NY 11432,(718) 977-4800,28,Queens,Public,Q690
16002,,HS NETWORK 05 SUPT OFFICE,1396 BROADWAY ROOM 110 BROOKLYN NY 11221,(718) 455-4635,16,Brooklyn,Public,
13026,,HS NETWORK 09 SUPERINTENDENT O,2 METRO TECH CENTER RM 3900 BROOKLYN NY 11201,(718) 935-3070,13,Brooklyn,Public,
10541,10X696,HS OF AMER.STUDIES @ LEHMAN,2925 GOULDEN AVENUE Bronx NY 10468,(718) 329-2144,10,Bronx,Public,X905
24552,24Q267,HS OF APPLIED COMMUNICATION,30-20 THOMSON AVENUE Queens NY 11101,(718) 389-3163,24,Queens,Public,Q735
2531,02M630,HS OF ART & DESIGN,233 EAST 56TH STREET New York NY 10022,(212) 752-4340,2,Manhattan,Public,M488
11589,11X275,HS OF COMPUTERS & TECHNOLOGY,800 EAST GUN HILL ROAD Bronx NY 10467,(718) 696-3930,11,Bronx,Public,X425
14580,14K478,"HS OF ENTERPRISE, BUS.& TECH.",850 GRAND ST. Brooklyn NY 11211,(718) 387-2800,14,Brooklyn,Public,K450
2533,02M600,HS OF FASHION INDUSTRIES,225 WEST 24TH STREET Manhattan NY 10011,(212) 255-1235,2,Manhattan,Public,M600
2514,02M296,HS OF HOSPITALITY MANAGEMENT,525 WEST 50TH STREET New York NY 10019,(212) 586-0963,2,Manhattan,Public,M535
20500,20K485,HS OF TELE ARTS & TECH,350 67TH STREET Brooklyn NY 11220,(718) 759-3400,20,Brooklyn,Public,K485
